ID,YEAR,HOUR,LATITUDE,LONGITUDE,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,DAMAGE_TOTAL_DESCRIPTION,HOUSES_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION
4522,1/03/2010,21,-8.743,157.477,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.6,26,,,
4523,1/03/2010,22,-8.799,157.346,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.1,25,Limited (<$1 million),Few (~1 to 50 houses),
4542,1/05/2010,12,-9.019,157.551,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.8,15,,,
4622,1/12/2010,21,18.457,-72.533,HAITI,Caribbean Sea,Earthquake and Landslide,Definite Tsunami,7,13,Extreme (~$25 million or more),Very Many (~1001 or more houses),Very Many (~1001 or more people)
4682,27/02/2010,6,-36.122,-72.898,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.8,23,Extreme (~$25 million or more),,Many (~101 to 1000 people)
4763,4/06/2010,22,2.383,97.048,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.8,31,,,
4722,3/11/2010,14,-34.29,-71.891,CHILE,West Coast of South America,Earthquake,Definite Tsunami,6.9,11,Limited (<$1 million),,
4782,26/2/2010,20,25.93,128.425,JAPAN,Japan,Earthquake,Probable Tsunami,7,25,,,
4762,13/4/2010,,-9.282,-77.645,PERU,West Coast of South America,Landslide,Event that only caused a seiche or disturbance in an inland river,,,Limited (<$1 million),Few (~1 to 50 houses),Few (~1 to 50 people)
4822,29/5/2010,11,16.708,145.97,USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,Definite Tsunami,,,,,
4902,6/12/2010,19,7.881,91.936,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.5,35,,,
5222,8/10/2010,5,-17.541,168.069,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.2,25,,,
5343,13/8/2010,21,12.484,141.476,USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,6.9,10,,,
5342,25/10/2010,14,-3.487,100.082,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.8,20,Extreme (~$25 million or more),Many (~101 to 1000 houses),Many (~101 to 1000 people)
5402,21/12/2010,17,26.901,143.698,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,14,,,
5403,25/12/2010,13,-19.702,167.947,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.3,16,Limited (<$1 million),,
5443,13/4/2010,,-21.955,-157.92,COOK ISLANDS,"E Coast Australia, New Zealand, South Pacific Is.",Unknown,Questionable Tsunami,,,,,
5407,21/2/2011,23,-43.583,172.68,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake and Landslide,Questionable Tsunami,6.1,6,,,
5406,2/11/2011,20,-36.474,-73.125,CHILE,West Coast of South America,Earthquake,Definite Tsunami,6.8,28,,,
5412,3/09/2011,2,38.435,142.842,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,32,,,
5413,3/11/2011,5,38.297,142.372,JAPAN,Japan,Earthquake,Definite Tsunami,9.1,30,Extreme (~$25 million or more),Very Many (~1001 or more houses),Very Many (~1001 or more people)
5419,1/09/2011,10,-19.157,168.311,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.5,24,,,
5431,7/10/2011,0,38.034,143.264,JAPAN,Japan,Earthquake,Definite Tsunami,7,23,,,
5432,24/6/2011,3,52.05,-171.836,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.3,52,,,
